Date,Sales
1/1/80,464
2/1/80,675
3/1/80,703
4/1/80,887
5/1/80,1139
6/1/80,1077
7/1/80,1318
8/1/80,1260
9/1/80,1120
10/1/80,963
11/1/80,996
12/1/80,960
1/1/81,530
2/1/81,883
3/1/81,894
4/1/81,1045
5/1/81,1199
6/1/81,1287
7/1/81,1565
8/1/81,1577
9/1/81,1076
10/1/81,918
11/1/81,1008
12/1/81,1063
1/1/82,544
2/1/82,635
3/1/82,804
4/1/82,980
5/1/82,1018
6/1/82,1064
7/1/82,1404
8/1/82,1286
9/1/82,1104
10/1/82,999
11/1/82,996
12/1/82,1015
1/1/83,615
2/1/83,722
3/1/83,832
4/1/83,977
5/1/83,1270
6/1/83,1437
7/1/83,1520
8/1/83,1708
9/1/83,1151
10/1/83,934
11/1/83,1159
12/1/83,1209
1/1/84,699
2/1/84,830
3/1/84,996
4/1/84,1124
5/1/84,1458
6/1/84,1270
7/1/84,1753
8/1/84,2258
9/1/84,1208
10/1/84,1241
11/1/84,1265
12/1/84,1828
1/1/85,809
2/1/85,997
3/1/85,1164
4/1/85,1205
5/1/85,1538
6/1/85,1513
7/1/85,1378
8/1/85,2083
9/1/85,1357
10/1/85,1536
11/1/85,1526
12/1/85,1376
1/1/86,779
2/1/86,1005
3/1/86,1193
4/1/86,1522
5/1/86,1539
6/1/86,1546
7/1/86,2116
8/1/86,2326
9/1/86,1596
10/1/86,1356
11/1/86,1553
12/1/86,1613
1/1/87,814
2/1/87,1150
3/1/87,1225
4/1/87,1691
5/1/87,1759
6/1/87,1754
7/1/87,2100
8/1/87,2062
9/1/87,2012
10/1/87,1897
11/1/87,1964
12/1/87,2186
1/1/88,966
2/1/88,1549
3/1/88,1538
4/1/88,1612
5/1/88,2078
6/1/88,2137
7/1/88,2907
8/1/88,2249
9/1/88,1883
10/1/88,1739
11/1/88,1828
12/1/88,1868
1/1/89,1138
2/1/89,1430
3/1/89,1809
4/1/89,1763
5/1/89,2200
6/1/89,2067
7/1/89,2503
8/1/89,2141
9/1/89,2103
10/1/89,1972
11/1/89,2181
12/1/89,2344
1/1/90,970
2/1/90,1199
3/1/90,1718
4/1/90,1683
5/1/90,2025
6/1/90,2051
7/1/90,2439
8/1/90,2353
9/1/90,2230
10/1/90,1852
11/1/90,2147
12/1/90,2286
1/1/91,1007
2/1/91,1665
3/1/91,1642
4/1/91,1525
5/1/91,1838
6/1/91,1892
7/1/91,2920
8/1/91,2572
9/1/91,2617
10/1/91,2047
